fen	bestmove	score_cp	multipv	suite	split	case_id	random_prefix	takeover_plies	final_ply	worker	attempt
rnba5/9/3a1kn2/pcp1p3P/2b6/P2cP1B2/2P6/9/1C2AN3/RNB1KAC2 b	g7i6	-2209	1:g7i6:-2209;2:d4g4:-2519;3:g7f5:-2698;4:g7h5:-2999	random_pikafish_takeover	seed	case-000100	47	2	49	4	17
r1bak1r2/2c1a2C1/n2C4b/N8/3P1Pp1p/2B6/P5P1P/B8/6N2/R2AK3R w	h8h2	4336	1:h8h2:4336;2:h8h6:4008;3:i0h0:3997;4:h8c8:3837	random_pikafish_takeover	seed	case-000101	66	2	68	1	18
2b1k1b2/4a4/r8/p5C1p/2P1P1p2/5R1cP/P7c/6r2/4R4/1NBAKAB2 w	g6g2	4218	1:g6g2:4218;2:f4h4:4193;3:e5d5:4022;4:g6e6:3459	random_pikafish_takeover	seed	case-000102	52	2	54	2	18
3akab2/3n4n/5r3/4p4/2b3p2/2P3P1p/R2rP3C/B1c1NA3/5K1C1/3A2B2 b	f7f2	9999	1:f7f2:9999;2:d3d4:5108;3:d3d2:4988;4:d3d7:4935	random_pikafish_takeover	seed	case-000103	89	2	91	0	19
r1bak2nr/4a4/n3b4/2p1p3p/9/P1P3p1P/4P1P2/4B4/1c1CA3R/CN1K1A1N1 b	a9b9	4290	1:a9b9:4290;2:g4g3:4213;3:h9g7:4211;4:g4f4:4191	random_pikafish_takeover	seed	case-000104	23	2	25	5	18
rnb1kabn1/4a4/9/c1c3C1p/p5p2/2p4C1/P1P1P1P1P/Nr1A4B/5R3/2B1KA1NR w	i2g4	-2219	1:i2g4:-2219;2:g6a6:-2285;3:c3c4:-2346;4:d2e1:-2325	random_pikafish_takeover	seed	case-000105	32	2	34	3	18
3R5/5k3/5a3/r1p3r2/4pCbcp/p1P1P4/5c3/4B3N/3CA4/1NB1KA3 b	h5f5	4	1:h5f5:4;2:f7e8:-830;3:g6f6:-1996;4:f8e8:-2220	random_pikafish_takeover	seed	case-000106	75	2	77	4	18
1nb1kab2/4a3r/8n/1Cp1p1p1p/1c3c3/p1P3P2/8P/4BA2N/6R2/RN1K1AB2 w	b6e6	3520	1:b6e6:3520;2:a0a4:3182;3:b0c2:3131;4:g1d1:3094	random_pikafish_takeover	seed	case-000107	42	2	44	1	19
1n1acabnr/3k5/r3b4/p1p5p/2P1pP3/9/P3P3P/2N1C4/1RC1KR3/2BA1ABN1 b	a7a8	-9999	1:a7a8:-9999;2:d8e8:-9999;3:d8d7:-9999;4:a7b7:-9999	random_pikafish_takeover	seed	case-000108	57	2	59	2	19
2na1a3/4kn3/b8/2r6/R1p3p1P/4P1P2/2P1C4/3AN4/6c1R/1NB2KB2 b	e8d8	-5466	1:e8d8:-5466;2:f8e6:-9999;3:c6e6:-9999	random_pikafish_takeover	seed	case-000109	81	2	83	0	20
r1ba1a3/3R3r1/n2nkC2b/pRp1p3p/6pc1/P5P2/2P6/N8/4A4/2BA1KBN1 w	d8d7	3853	1:d8d7:3853;2:d8h8:3477;3:b6c6:2054;4:b6b8:1772	random_pikafish_takeover	seed	case-000110	46	2	48	3	19
2b2abn1/3ra4/4k3r/9/pC1PP1p2/6P1p/P6CP/4B4/2c6/RRBAKANN1 b	e8d9	-9999	1:e8d9:-9999;2:d8d5:-9999;3:e7f7:-9999;4:i7i6:-9999	random_pikafish_takeover	seed	case-000111	63	2	65	5	19
2ra1a1n1/R1n6/4k4/5cp2/2p1p1b2/p5B1P/2P1P1P2/B8/7R1/1N1A1K1N1 w	h1h9	4662	1:h1h9:4662;2:a8a6:4078;3:h1h7:3920;4:b0c2:3896	random_pikafish_takeover	seed	case-000112	72	2	74	4	19
r4C3/4k1C2/b1n1ba3/2p3p2/p8/2Ppc1B2/P5P1P/4B4/5K3/1R3N3 b	a9f9	2521	1:a9f9:2521;2:e8f8:-1149;3:a9b9:-1636;4:a9a8:-3762	random_pikafish_takeover	seed	case-000113	65	2	67	1	20
rnbakab2/8r/6n2/p1p1p1p1p/1C7/9/P1P1P1PCP/5R3/4c4/R1BK1ABN1 b	e1i1	46	1:e1i1:46;2:i8h8:12;3:i8d8:7;4:e1b1:0	random_pikafish_takeover	seed	case-000114	19	2	21	2	20
1nbak1bn1/4a4/8r/p1p1p1p2/1cc6/2PC4p/P3PCP1P/R3B1R2/7r1/1N1AKABN1 b	c5g5	2612	1:c5g5:2612;2:c5h5:2167;3:c5i5:1926;4:c5f5:1454	random_pikafish_takeover	seed	case-000115	39	2	41	0	21
rn1akabC1/8r/b8/2p1p3p/p3P1p2/2Pc2P2/P2c4P/9/4C4/RNBAKABNR w	h9h2	2723	1:h9h2:2723;2:h9h5:2559;3:h9h3:2436;4:e1e4:2394	random_pikafish_takeover	seed	case-000116	30	2	32	3	20
r1bak2n1/9/1rn6/6p1p/p4Cb2/2p1P3P/P1P3P2/BcR6/R3K4/3A1AB2 b	b2b0	3171	1:b2b0:3171;2:a9a6:3073;3:c4d4:2996;4:a9a8:2947	random_pikafish_takeover	seed	case-000117	43	2	45	5	20
5ab2/3kan3/C2r5/p1p3p2/2b1p2r1/PRP1P1P1p/8P/B8/4A1N2/3AK1BNR b	c5a7	-2605	1:c5a7:-2605;2:d7a7:-3498;3:h5h1:-3546;4:e5e4:-3551	random_pikafish_takeover	seed	case-000118	65	2	67	4	20
3akabn1/2r6/2n1b3r/p1p1p1p2/2P5p/6PNP/R3P3R/9/9/1NBAKABC1 w	i4i5	3175	1:i4i5:3175;2:i3f3:3140;3:h0h9:3138;4:c5c6:3059	random_pikafish_takeover	seed	case-000119	32	2	34	1	21
rnb1kabr1/4a4/4c3n/p1p1C1p1p/7c1/9/P1P1P1P1P/6C2/4A4/RNBAK1BNR w	h0i2	-23	1:h0i2:-23;2:e6e4:-37;3:e6e5:-37;4:b0a2:-28	random_pikafish_takeover	seed	case-000120	12	2	14	2	21
1C1a1Rb1r/4k4/9/3r2p2/2b1p1P1p/9/1pPp2PC1/B7B/3c5/1N1AKA1N1 b	d1c1	645	1:d1c1:645;2:d1a1:610;3:d1g1:444;4:i9h9:276	random_pikafish_takeover	seed	case-000121	81	2	83	0	22
1RC5r/2C1k4/6n2/p3p1p2/6b1p/P3Rc3/2P1P1P1P/4B3N/N8/2BAKA3 b	g5e7	-9999	1:g5e7:-9999;2:f4a4:-9999;3:i9d9:-9999;4:i9c9:-9999	random_pikafish_takeover	seed	case-000122	49	2	51	5	21
2baka2r/5r3/nc2bC2n/p1p1p1p2/8p/4P3P/P1P3P2/8C/R2R3c1/1NBAKABN1 b	h1a1	2488	1:h1a1:2488;2:f8f7:84;3:i5i4:61;4:f9e8:18	random_pikafish_takeover	seed	case-000123	25	2	27	4	21
r2nk1b2/4a4/4banr1/p7p/P1p1p3P/2P1P4/6P1C/1CN5N/3RAK3/2B2AB1R w	i0h0	2585	1:i0h0:2585;2:i0i1:2323;3:i5h5:2258;4:e4e5:2149	random_pikafish_takeover	seed	case-000124	58	2	60	1	22
rnbakabn1/7r1/6c2/p1p1p3p/6p2/4c1P1P/P1P6/N1C6/4A4/R1BA1KBNR b	h8f8	3922	1:h8f8:3922;2:a9a8:3837;3:g5g4:3803;4:g9e7:3764	random_pikafish_takeover	seed	case-000125	19	2	21	2	22
1nbakabnr/3C2c2/r3c4/p1p3p1p/4p4/9/P1P1P1P1P/R5N2/7C1/1NBAKAB1R w	a2d2	-9	1:a2d2:-9;2:h1e1:-16;3:d8d2:-20;4:a2b2:-43	random_pikafish_takeover	seed	case-000126	12	2	14	3	22
1n1k3n1/4a4/b1r1ba2c/4p4/p1p1P4/2P1cp3/P2C2R1C/R7B/9/1N1AKABN1 w	a2h2	4721	1:a2h2:4721;2:b0d1:4654;3:e0e1:4502;4:g3g8:4502	random_pikafish_takeover	seed	case-000127	60	2	62	0	23
r3kabn1/4a4/b8/1C2p3p/P3c4/2p3p1P/2P1P4/B1N4R1/1R5c1/2CA1KBN1 b	a9d9	-4670	1:a9d9:-4670;2:h9g7:-4736;3:g4h4:-4890;4:c4c3:-4897	random_pikafish_takeover	seed	case-000128	69	2	71	5	22
1n1aknb2/1R2c4/4ba3/C1p3p2/P2rp3p/4P4/2P3P1P/2N6/4K2CN/2BA1ABc1 w	e1e0	736	1:e1e0:736;2:c0e2:174;3:a6a9:187;4:b8b9:179	random_pikafish_takeover	seed	case-000129	54	2	56	4	22
2bakab1r/9/4ccn2/p1p1p3p/6p2/2B6/P1P1P1P1P/8N/1r1NA3R/R2AK1B2 b	g7f5	4373	1:g7f5:4373;2:b1d1:4351;3:e6e5:4211;4:i9i8:4191	random_pikafish_takeover	seed	case-000130	23	2	25	1	23
2b2a2C/3k1n2c/9/1r2pP3/2P3C1p/3cP4/1n3N2P/p3B4/8N/3AKAB2 w	f0e1	-3674	1:f0e1:-3674;2:g5g1:-3739;3:g5g8:-3894;4:i9c9:-3981	random_pikafish_takeover	seed	case-000131	88	2	90	2	23
2b1kab2/3c5/2n6/p7p/4p1C2/6P1P/P3P4/4BA1C1/1r5c1/RNB1K2NR b	d8d3	-3296	1:d8d3:-3296;2:d8b8:-3448;3:d8e8:-3554;4:e5e4:-3687	random_pikafish_takeover	seed	case-000132	69	2	71	3	23
rnba1nb2/4akr2/9/P7p/3cC3P/4p2R1/N1P3P1c/8B/5N3/C1BAKA3 b	g8g5	2029	1:g8g5:2029;2:f9d8:1938;3:g8g6:1204;4:b9c7:434	random_pikafish_takeover	seed	case-000133	85	2	87	0	24
1n1a1abn1/4k4/4c2Cr/r4Pp2/p1p5p/3p5/P1P5P/3NB4/4A4/RCB1KAR1c b	a6f6	3538	1:a6f6:3538;2:i7h7:3415;3:e7g7:2084;4:d4d3:1824	random_pikafish_takeover	seed	case-000134	53	2	55	5	23
1n1ak1b2/4a4/brC5n/2p4rp/2P1p1p2/p4cB2/P3C1P1P/7RN/4A4/RN2KAB2 w	h2h6	3909	1:h2h6:3909;2:c7e7:3756;3:c7c9:3411;4:h2f2:80	random_pikafish_takeover	seed	case-000135	48	2	50	4	23
2ba1abr1/4k4/2n2c3/p1p1n2Cp/4p1p2/P8/2P1P1P1P/3CB4/1r2A4/2BAK2NR b	h9h6	4330	1:h9h6:4330;2:e5e4:4268;3:b1c1:4118;4:f7e7:4121	random_pikafish_takeover	seed	case-000136	53	2	55	1	24
rn2kab1r/9/b4a3/p1p1p1n1p/1P7/1CB6/2P1P1p1P/3A2N2/4A3C/RN2K1B1R w	g2f0	3999	1:g2f0:3999;2:g2h0:3897;3:g0e2:3746;4:i0h0:3735	random_pikafish_takeover	seed	case-000137	32	2	34	2	24
3ak1b2/5r3/4na3/4p4/p1r5p/P8/2RcPn2P/4B4/4A3c/N3KAB2 b	f3g1	31994	1:f3g1:31994;2:c5c3:9999;3:f8d8:9999;4:d3d0:9999	random_pikafish_takeover	seed	case-000138	87	2	89	3	24
3ak1b2/2nca1n2/4b1c2/2r1p1p1p/p8/4P1P2/8P/3A5/5R3/1RBN1KB2 w	d2e1	-3515	1:d2e1:-3515;2:c0e2:-3733;3:f0e0:-3862;4:c0a2:-3995	random_pikafish_takeover	seed	case-000139	76	2	78	0	25
3a1ab2/5k3/b8/2p3rnp/p1c3p2/3CP1B2/2P3c2/1r4N2/4K3R/1N1A1AB2 b	b2f2	5542	1:b2f2:5542;2:g6e6:5542;3:g5g4:5301;4:g6d6:5216	random_pikafish_takeover	seed	case-000140	65	2	67	5	24
C2a2b1r/cR2a3c/4bk3/2p1p1p2/p6CP/2P3B2/4P1P2/r3B4/4A4/3AK2N1 w	b8b5	-137	1:b8b5:-137;2:b8b7:-270;3:b8b6:-306;4:b8b1:-631	random_pikafish_takeover	seed	case-000141	50	2	52	4	24
1nbaka3/9/3c5/4p3R/2P1PPb2/r7P/p3CC3/N2A4B/4K2c1/R1B2A3 w	a2c3	4855	1:a2c3:4855;2:i6f6:4660;3:a2c1:4417;4:i6i9:4273	random_pikafish_takeover	seed	case-000142	74	2	76	1	25
rn1aka1r1/9/b3R4/p1p1p1p1p/4C3c/2P3n1P/P3Pc3/B8/N6CR/3AKABN1 b	f9e8	776	1:f9e8:776;2:d9e8:529	random_pikafish_takeover	seed	case-000143	33	2	35	3	25
1r1akcbn1/n8/3ab3r/6C1p/3NP1P2/1pB6/3C2P2/3AB4/4A4/1N2K4 w	e5f5	-5773	1:e5f5:-5773;2:g6e6:-5829;3:d3f3:-5852;4:e5e6:-5981	random_pikafish_takeover	seed	case-000144	86	2	88	2	25
R1bC1abn1/1r1k2r2/9/2p1p1p1p/9/2B5P/2P1P1P2/9/2c1K2c1/5ABNR b	c1c4	3420	1:c1c4:3420;2:h1i1:3403;3:h1h5:3120;4:b8c8:2972	random_pikafish_takeover	seed	case-000145	57	2	59	0	26
1N1ak2r1/c8/4ban1b/4p3r/6p1p/p1P3P2/4P3P/4B1C2/4A4/3RKABNR w	d0d8	3825	1:d0d8:3825;2:b9c7:3515;3:i3i4:3100;4:g4g5:2927	random_pikafish_takeover	seed	case-000146	58	2	60	5	25
Cr1akab2/5n2r/2R5b/p4n3/2p5p/P1B1p3P/2P1P1P2/N2N1A2c/9/3A1K3 b	i2d2	5724	1:i2d2:5724;2:e4d4:5538;3:i8h8:5431;4:b9a9:5327	random_pikafish_takeover	seed	case-000147	89	2	91	4	25
1r1a1an2/2r2k3/n3b3b/p1p1C1p2/4C3p/4P4/2P3c1P/4B3R/c1R5N/1NBAKA3 w	i2f2	31996	1:i2f2:31996;2:c1f1:31996;3:c1a1:9999;4:b0c2:9999	random_pikafish_takeover	seed	case-000148	42	2	44	1	26
1nbkra3/8r/5a2n/4p1p2/p5b1p/P1p2NP2/N8/5K3/4A2R1/2B2AB2 w	g4g5	-3891	1:g4g5:-3891;2:f2f1:-3929;3:a3c4:-3898;4:h1h7:-3931	random_pikafish_takeover	seed	case-000149	82	2	84	3	26
1n1aka3/2r5n/b1c1b4/p1p6/1P2p1p1p/7Cc/4P1P2/B8/6R2/1N1AKABNR w	g1d1	2391	1:g1d1:2391;2:i0i1:2205;3:b0d1:2222;4:h4h2:2211	random_pikafish_takeover	seed	case-000150	84	2	86	2	26
1nbakab1r/5C1C1/4c1n2/p1p1p1pcp/9/9/P1P1P1P1P/8N/3RK4/1NBA1AB1R w	i0h0	3628	1:i0h0:3628;2:f8b8:3397;3:d1d8:3336;4:f8f4:3373	random_pikafish_takeover	seed	case-000151	14	2	16	0	27
1nbaka1nr/1R7/2r1b4/6p1p/p5c2/3pP2C1/P1P3P1P/4c1NC1/9/1N1AKA1R1 b	e2h2	65	1:e2h2:65;2:c7c3:-310;3:h9g7:-371;4:g5g2:-403	random_pikafish_takeover	seed	case-000152	39	2	41	5	26
2ba1ab2/r2ck4/nC4nR1/p1p1p3p/4c3P/P1P2rp2/6P2/N5N1C/3R5/2BAKAB2 b	g4g3	1807	1:g4g3:1807;2:f4e4:1662;3:g7f5:1649;4:e8e9:1183	random_pikafish_takeover	seed	case-000153	51	2	53	4	26
2baka3/1r7/2n1b3R/p3P4/2p3pP1/1N1p1C3/6P2/B3B4/c4K1C1/3A1A1N1 w	h1a1	3741	1:h1a1:3741;2:e6e7:3014;3:i7f7:2760;4:f4i4:2123	random_pikafish_takeover	seed	case-000154	76	2	78	1	27
2bak1bn1/4a1r2/9/2p1p4/1P2P4/1c4P2/3R5/1c2B4/2r1A4/4KAB2 b	b2b0	5593	1:b2b0:5593;2:g8g7:5497;3:b4e4:5311;4:c1a1:5235	random_pikafish_takeover	seed	case-000155	81	2	83	3	27
1nb1ka3/9/1C1ab2r1/4nRP2/3cp4/4P3P/2P1N4/1r7/c3A4/3AK1BN1 w	e1d2	-9999	1:e1d2:-9999;2:e1f2:-9999;3:g0e2:-9999;4:e1f0:-9999	random_pikafish_takeover	seed	case-000156	80	2	82	2	27
1nbak4/2r3nR1/3a5/1Cp2rp1p/4p1b2/p7P/2P1P1P2/B3B4/2c1Kc2N/RN1A1A3 b	c6c5	3590	1:c6c5:3590;2:f6f9:3536;3:f6f4:3159;4:f6f7:3119	random_pikafish_takeover	seed	case-000157	57	2	59	0	28
1r1akabn1/6R2/n3bC3/p8/6p1p/P1B3P2/1NP5P/8B/4A3N/1R2KA3 w	f7f2	4911	1:f7f2:4911;2:f7f3:4778;3:f7f4:4747;4:g8h8:4729	random_pikafish_takeover	seed	case-000158	76	2	78	5	27
1nb1ka3/4a4/4b1r1n/p1p4Cp/2P1p1p2/4P4/P8/1c2B3c/2C5R/1N1AKABN1 w	h0i2	2161	1:h0i2:2161;2:g0i2:1378;3:c1g1:829;4:c5d5:198	random_pikafish_takeover	seed	case-000159	54	2	56	4	27
r3knbnr/9/b2a1a3/p1p2C2p/4p1p2/P1P1P1B2/6P1P/RC5R1/4A4/1c2KABN1 w	e4e5	3788	1:e4e5:3788;2:b2e2:3572;3:a2a0:3278;4:f6f9:3129	random_pikafish_takeover	seed	case-000160	28	2	30	1	28
1r1aka2r/5n3/bcn1b4/p1p3p1p/4p1P2/2P1P1c2/P4C2P/1RC6/3K4N/2BA1AB1R w	g5f5	-1497	1:g5f5:-1497;2:e4e5:-1835;3:g0i2:-2151;4:i0h0:-2221	random_pikafish_takeover	seed	case-000161	40	2	42	3	28
1nba1a1n1/2r1k2r1/8b/p1p1p1p1p/9/1R6P/P1P1P1P2/4c1C1B/2C1A4/1N1AK2NR w	e0f0	3231	1:e0f0:3231;2:e1f0:3177;3:e1d2:2977;4:e1f2:2696	random_pikafish_takeover	seed	case-000162	26	2	28	2	28
2b1ka3/3cr3n/n3ba3/2p1p1p1p/p2CPP3/PC7/2P1N3P/B5NrB/5R3/3AKA3 b	e6e5	6	1:e6e5:6;2:e8h8:4;3:d8d0:0;4:d8b8:-791	random_pikafish_takeover	seed	case-000163	75	2	77	0	29
r1bk1abnr/4a4/n5c2/p8/2p1p1P2/P1B2c2p/1CP1P3P/2N5N/4K2R1/R1CA1AB2 w	i3i4	38	1:i3i4:38;2:c4e2:10;3:a0b0:7;4:i2g1:5	random_pikafish_takeover	seed	case-000164	32	2	34	5	28
2ba1ab2/4k4/2n5n/2pC2p2/8p/6B2/2P1P1P1P/Nr1A5/C6r1/c1BAK2NR w	h0f1	-4843	1:h0f1:-4843;2:d2e1:-5073;3:a1g1:-5403;4:a1e1:-5256	random_pikafish_takeover	seed	case-000165	50	2	52	4	28
rnb1kabn1/2r6/4ca3/2p1p1p1p/p8/2P3P2/P3P3P/6N2/7CR/RCBAKABc1 b	c8h8	145	1:c8h8:145;2:h9g7:124;3:b9c7:117;4:c6c5:103	random_pikafish_takeover	seed	case-000166	19	2	21	1	29
1Rba1a1n1/4k1r2/n1C1b4/p1p3p2/4p2cp/2P2cB2/P3P1P1P/4C4/5N3/RNBAKA3 b	a7b9	-230	1:a7b9:-230;2:h5h0:-3329;3:e8e9:-3908;4:f4f8:-4087	random_pikafish_takeover	seed	case-000167	45	2	47	3	29
R1b1k4/6Cr1/2ra2Rcb/2p1p4/9/4P2c1/2P5p/3A2N2/9/1NBK1AB2 w	g2h4	4709	1:g2h4:4709;2:g7e7:4515;3:g8g9:4269;4:g8a8:4104	random_pikafish_takeover	seed	case-000168	80	2	82	2	29
2bakab2/8r/2n1c4/p1p5p/5npR1/2P3P2/P2cP3P/4B3N/4K4/RN1A1AB2 w	b0d1	-319	1:b0d1:-319;2:b0c2:-927;3:h5g5:-1474;4:e1e0:-1459	random_pikafish_takeover	seed	case-000169	28	2	30	0	30
rnbakab1r/5c3/2c3n2/2p1p1p1p/p8/6C2/P1P1P1PCP/5R3/4K4/1NBA1ABNR b	a9a8	93	1:a9a8:93;2:f8c8:58;3:f8b8:37;4:f8i8:34	random_pikafish_takeover	seed	case-000170	15	2	17	5	29
3a1ab2/5k3/4r1n1b/4c1p1p/pnp6/2P3PC1/P3P3P/1C2B3B/5N3/1R1AKA1R1 w	h4h9	4824	1:h4h9:4824;2:h4h7:4813;3:f1d2:4661;4:h4i4:4654	random_pikafish_takeover	seed	case-000171	54	2	56	4	29
2ba1kb1r/4a4/C8/2p2R3/4P3p/3p3c1/Pp6P/4B4/2r1A4/R1C1KABN1 b	f9e9	-4021	1:f9e9:-4021;2:e8f7:-4561	random_pikafish_takeover	seed	case-000172	73	2	75	1	30
2ra5/4a4/4bk2b/cC7/2p2nP2/p3p2c1/P1P6/B2K5/4RN3/1N1A2B2 w	e1e4	0	1:e1e4:0;2:g5f5:0;3:a3a4:-1017;4:b0d1:-1327	random_pikafish_takeover	seed	case-000173	90	2	92	3	30
r2akabnr/9/bn2C4/2p1p1pc1/p3C3p/c1P6/P3P1P1P/2N1B1N1B/6R2/R2AKA3 w	a0b0	1059	1:a0b0:1059;2:e7c7:455;3:a3a4:233;4:e7d7:220	random_pikafish_takeover	seed	case-000174	28	2	30	2	30
3akab2/8r/3C5/p3C1p2/2pnp1b1p/1c2P4/P1r3P1P/7R1/4K4/RNBA1ABc1 b	d5c7	1768	1:d5c7:1768;2:c3c1:40;3:e9e8:-8;4:c3e3:-1221	random_pikafish_takeover	seed	case-000175	49	2	51	0	31
3a1abnr/4k4/2n3rc1/p1p1p3p/2bC5/P4p3/2P5P/R4C3/3KA2R1/1NBAc1B2 b	e8e9	3682	1:e8e9:3682;2:f4f3:3500;3:i9i7:3489;4:i9i8:3451	random_pikafish_takeover	seed	case-000176	31	2	33	5	30
2bak1b2/3rnC3/5a2n/9/P3p1p1p/7R1/2P1P1P1P/1r2B2c1/4A4/1N1AKNB2 w	f8d8	591	1:f8d8:591;2:f8i8:-2796;3:b0d1:-2852;4:h4h2:-2964	random_pikafish_takeover	seed	case-000177	76	2	78	4	30
2ba1ab2/n3k4/1P2C4/5cp2/2r3C1p/2p1p1P2/1R2P2rP/8B/4AN1cR/1NBAK4 w	f1g3	7	1:f1g3:7;2:e7d7:-149;3:b3a3:-319;4:e7e6:-619	random_pikafish_takeover	seed	case-000178	82	2	84	1	31
r2a1abnr/1c2k4/n5c2/p1p1p3p/P1b4C1/6B2/2P1P1P1P/8R/2C1A4/1NBRKA1N1 b	a6a5	-704	1:a6a5:-704;2:g7h7:-776;3:h9i7:-1255;4:b8a8:-1396	random_pikafish_takeover	seed	case-000179	25	2	27	2	31
3a2C2/n3ak2r/7c1/p7c/2R1p1p2/8P/P3P4/1r2B2R1/4K4/2BA1A1N1 b	i8g8	-29	1:i8g8:-29;2:i8h8:-87;3:b2b7:-95;4:i8i9:-127	random_pikafish_takeover	seed	case-000180	85	2	87	3	31
1nCk1a3/1R2a4/3r2n1b/p1pr2p1p/P3pc2P/2B6/4P4/6N2/5c3/1N1AKAB1R w	f0e1	1077	1:f0e1:1077;2:d0e1:36;3:b8b9:0;4:e0e1:-1782	random_pikafish_takeover	seed	case-000181	86	2	88	0	32
2b1k2n1/n8/3a1a3/p1p1p4/2P2cp1p/4P2r1/P5P1P/8B/5K2R/2B2A1N1 w	c5c6	-4506	1:c5c6:-4506;2:g3g4:-4510;3:h0g2:-4445;4:f1e1:-4503	random_pikafish_takeover	seed	case-000182	84	2	86	5	31
1r1aka1n1/3n3r1/b2c4b/p1p1p2c1/4P1p1p/PN1C5/2P3P1P/3A1C2N/4K4/1RB2AB1R b	d7e7	1425	1:d7e7:1425;2:e6e5:1214;3:h6h4:857;4:h8f8:464	random_pikafish_takeover	seed	case-000183	35	2	37	4	31
rn2kabnr/4a4/b7c/p3p1p2/6c2/2B5p/P1P3P2/4C1NC1/R3AR3/1NBK1A3 b	i4h4	1423	1:i4h4:1423;2:b9c7:1331;3:i4i3:1251;4:g5g2:769	random_pikafish_takeover	seed	case-000184	23	2	25	1	32
1nbaka1nr/r7c/4b4/2pR4p/p5pC1/P7P/1CP3P2/9/4K1N2/1NBA1AB1R w	e1e0	2232	1:e1e0:2232;2:i0i2:2213;3:b3b2:2193;4:b3b5:1994	random_pikafish_takeover	seed	case-000185	40	2	42	2	32
1CbR1a3/4kn1R1/4br3/1rp3p1p/9/p1B3P2/P3P3P/1C7/4K4/2BA4N b	b6b9	-2914	1:b6b9:-2914;2:b6b2:-3125;3:c6c5:-3577;4:f7f0:-3781	random_pikafish_takeover	seed	case-000186	71	2	73	3	32
4kabnr/4a4/1c2b4/1P2pCp1p/7P1/2p1P4/8P/7RB/4K4/2Br1A1NR b	b7d7	2481	1:b7d7:2481;2:b7c7:2297;3:b7a7:2271;4:b7b9:2231	random_pikafish_takeover	seed	case-000187	53	2	55	0	33
rn1akab2/7r1/b6Cn/p1p1p1p2/1C4c1p/6P2/P1P1Pc2P/R8/3K5/1NBA1ABNR b	g5e5	2717	1:g5e5:2717;2:g5f5:2647;3:h8h7:2485;4:h8d8:2500	random_pikafish_takeover	seed	case-000188	23	2	25	5	32
1n2kab1r/5rn2/b4a1c1/p3p4/1C4p2/2p5p/P3P1P1P/6N1B/4A4/RNBA1K2R b	b9c7	2721	1:b9c7:2721;2:i4i3:2572;3:f7e8:2518;4:h7g7:2448	random_pikafish_takeover	seed	case-000189	39	2	41	4	32
3aka3/9/r3b1r1n/p1p1pcp2/5C2p/2P5P/Pc2P1P2/3R5/9/1NBAKABNR b	i7h5	-43	1:i7h5:-43;2:g7h7:-110;3:e7g9:-124;4:i5i4:-161	random_pikafish_takeover	seed	case-000190	23	2	25	1	33
r1ba1abn1/3k3r1/2n6/4pc2p/2C6/2p6/1p1CP3p/B1N3N1B/4K1R2/3A1c3 b	c4c3	5147	1:c4c3:5147;2:a9a2:4961;3:h8h2:4981;4:b3c3:4970	random_pikafish_takeover	seed	case-000191	81	2	83	2	33
1nbak2n1/7c1/4ba3/p1p1p1p2/1r7/C1B3P1p/PCP1P3P/1RN6/5KN2/R1BA1A3 w	e3e4	3682	1:e3e4:3682;2:f1e1:3638;3:i3i4:3522;4:c2b0:3454	random_pikafish_takeover	seed	case-000192	66	2	68	3	33
rn1ak1b2/4a1n1r/b8/4p4/p7p/Pp4p2/2P1P3P/2C6/4NR3/2BAKABN1 w	e3e4	-2950	1:e3e4:-2950;2:a4a5:-2958;3:f1f5:-2981;4:f1f8:-3072	random_pikafish_takeover	seed	case-000193	42	2	44	0	34
4ca3/4k1r2/3ab3n/r1C3pC1/5c2P/4p2N1/2n1P4/N3BK3/9/R2A1AB2 w	f2f1	-4005	1:f2f1:-4005;2:c6c8:-4065;3:h4f5:-4199;4:c6e6:-4221	random_pikafish_takeover	seed	case-000194	66	2	68	5	33
3a1abn1/r4k3/b5r2/p1p1p3p/6p2/1R3c3/P1P1P1PCP/B6c1/9/1N1AK1BNR b	f4h4	-1	1:f4h4:-1;2:g7f7:-48;3:f4f5:-148;4:f4f6:-201	random_pikafish_takeover	seed	case-000195	31	2	33	4	33
1nba1Cb1r/4kn3/9/r5p1p/p1p6/2B3P2/P1c1P3P/8N/4A2cR/1NRAK1B2 b	h1h0	0	1:h1h0:0;2:i9i8:-18;3:h1h9:-20;4:i9i7:-526	random_pikafish_takeover	seed	case-000196	31	2	33	1	34
1n2kab1r/4a1n2/r1c1b4/4p4/p1p4CP/4P1p2/P1P3P2/9/2C5N/RNBAKAB2 b	i9i5	4124	1:i9i5:4124;2:g4g3:4091;3:g8f6:4003;4:g4h4:3832	random_pikafish_takeover	seed	case-000197	27	2	29	2	34
rn1a1a3/3k4c/1R2b1n1r/p1p1p1p2/2b5p/P1P4Cc/3NP1P2/7C1/4A4/2B1KABNR b	d8e8	-1898	1:d8e8:-1898;2:g6g5:-2204;3:g7i6:-2275;4:a9a7:-2681	random_pikafish_takeover	seed	case-000198	33	2	35	3	34
1nbakabnr/1r2C4/9/2p5p/4p1C2/5cP2/p1P1P2NP/9/4K4/RcBA1AB1R b	f4f6	3669	1:f4f6:3669;2:f4d4:3470;3:f9e8:3380;4:b0d0:3376	random_pikafish_takeover	seed	case-000199	25	2	27	0	35
