fen	bestmove	score_cp	multipv	suite	split	case_id	random_prefix	takeover_plies	final_ply	worker	attempt
1Cbc1k1r1/4a4/2r3n1b/p1p5p/4p1p2/9/P1P1P1P1P/NR2K3B/4N4/2BA1A3 w	e1g0	-5601	1:e1g0:-5601;2:b2b0:-9999;3:a3a4:-9999;4:i2g0:-9999	random_pikafish_takeover	seed	case-000030	46	2	48	4	5
1R1akr3/8n/4b3b/p3p1p1p/2p6/5c3/P3P1P1P/N3B4/4A2r1/4KABNR w	i0i2	-532	1:i0i2:-532;2:g3g4:-621;3:a2c3:-664;4:e0d0:-777	random_pikafish_takeover	seed	case-000031	62	2	64	0	7
1nbakabr1/9/5c3/p1p3p1C/4p3c/2P1P4/P5P2/N4A1r1/8R/R1BAK1BN1 b	h2h0	4300	1:h2h0:4300;2:f7i7:4050;3:i5g5:3968;4:h9h5:3907	random_pikafish_takeover	seed	case-000032	29	2	31	5	6
3aka3/1c7/3n4b/p1p1p4/2br2p1p/P3P1B2/2P3P1P/1CRA5/3N3C1/3K1ABN1 b	g5g4	-3108	1:g5g4:-3108;2:c5e7:-3219;3:d5d4:-3306;4:i7g9:-3348	random_pikafish_takeover	seed	case-000033	81	2	83	3	6
5a3/nr2kn2r/b2a1c2b/p7p/4P1p2/2p6/P1P3P1P/3AB4/5R3/1N2KA1CR w	b0a2	-1651	1:b0a2:-1651;2:f1f7:-1728;3:b0d1:-1874;4:f0e1:-2021	random_pikafish_takeover	seed	case-000034	66	2	68	4	6
1n1a1kb2/8r/r2aP3n/p5Cc1/2p5p/2P3P2/Pc6P/4BA3/R1CN2R1N/3AK1B2 w	g1h1	3374	1:g1h1:3374;2:g6e6:3242;3:g6c6:3236;4:g6f6:3204	random_pikafish_takeover	seed	case-000035	40	2	42	2	7
2bak1bnr/4a4/3n1r3/2p1p3p/P6P1/1R7/2P1Pcp2/N2NB4/6C2/R1BAKA1C1 b	f3f2	-2500	1:f3f2:-2500;2:d7e5:-2509;3:h9g7:-2530;4:g3g2:-2620	random_pikafish_takeover	seed	case-000036	59	2	61	1	7
2bak2n1/r1n1a4/4b3r/2p6/p5pC1/P1P3P2/4P1N1p/2N2C3/4A2c1/4KAB2 b	h1h2	9999	1:h1h2:9999;2:h1h0:9999;3:h1h4:9999;4:h1g1:9999	random_pikafish_takeover	seed	case-000037	69	2	71	0	8
1nbk1ab2/c8/3r4n/p1p1p3N/1R4p1p/P5P2/4P3P/B8/9/3AKAB2 w	b5b9	-3112	1:b5b9:-3112;2:f0e1:-3357;3:d0e1:-3438;4:g4g5:-3620	random_pikafish_takeover	seed	case-000038	64	2	66	5	7
1nba1a1n1/2rk5/4b4/2p4rp/pR4p2/P1P1p1B2/6P1P/B2A1KR2/2N2N3/3A3C1 w	f1h2	2060	1:f1h2:2060;2:f2e2:2051;3:b5f5:1757;4:b5d5:1775	random_pikafish_takeover	seed	case-000039	70	2	72	3	7
